

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 17 09:16:00 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: LRO (spacecraft) (-85)          {source: LRO_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.547916667, A.D. 2023-Oct-26 01:09:00.0000,  1.245372752448486E+03, -9.959228771471837E+02, -9.035059139105867E+02,
2460243.548611111, A.D. 2023-Oct-26 01:10:00.0000,  1.212133761636214E+03, -9.581895985257729E+02, -9.875985335762368E+02,
2460243.549305555, A.D. 2023-Oct-26 01:11:00.0000,  1.175426818150212E+03, -9.177140317949720E+02, -1.068862509858308E+03,
2460243.550000000, A.D. 2023-Oct-26 01:12:00.0000,  1.135362419793324E+03, -8.746166984193851E+02, -1.147070344978323E+03,
2460243.550694444, A.D. 2023-Oct-26 01:13:00.0000,  1.092059924736386E+03, -8.290252429968871E+02, -1.222003971788390E+03,
2460243.551388889, A.D. 2023-Oct-26 01:14:00.0000,  1.045647705971147E+03, -7.810738251404875E+02, -1.293455283567387E+03,
2460243.552083333, A.D. 2023-Oct-26 01:15:00.0000,  9.962624694507103E+02, -7.309027751823039E+02, -1.361226623677396E+03,
2460243.552777778, A.D. 2023-Oct-26 01:16:00.0000,  9.440488316116971E+02, -6.786581468699387E+02, -1.425131242026271E+03,
2460243.553472222, A.D. 2023-Oct-26 01:17:00.0000,  8.891588804291678E+02, -6.244912640047847E+02, -1.484993717635029E+03,
2460243.554166667, A.D. 2023-Oct-26 01:18:00.0000,  8.317517164939200E+02, -5.685582665108991E+02, -1.540650348362835E+03,
2460243.554861111, A.D. 2023-Oct-26 01:19:00.0000,  7.719929773572367E+02, -5.110196587541079E+02, -1.591949508830396E+03,
2460243.555555556, A.D. 2023-Oct-26 01:20:00.0000,  7.100543489957345E+02, -4.520398621150347E+02, -1.638751977444189E+03,
2460243.556250000, A.D. 2023-Oct-26 01:21:00.0000,  6.461130685237586E+02, -3.917867729103318E+02, -1.680931233202567E+03,
2460243.556944444, A.D. 2023-Oct-26 01:22:00.0000,  5.803514226482948E+02, -3.304312607320743E+02, -1.718373669714807E+03,
2460243.557638889, A.D. 2023-Oct-26 01:23:00.0000,  5.129562394417007E+02, -2.681467754576373E+02, -1.750978865412365E+03,
2460243.558333333, A.D. 2023-Oct-26 01:24:00.0000,  4.441183897125302E+02, -2.051091034538417E+02, -1.778659940421418E+03,
2460243.559027778, A.D. 2023-Oct-26 01:25:00.0000,  3.740322973377770E+02, -1.414958106097882E+02, -1.801343626653150E+03,
2460243.559722222, A.D. 2023-Oct-26 01:26:00.0000,  3.028954470384051E+02, -7.748578236780759E+01, -1.818970389055748E+03,
2460243.560416667, A.D. 2023-Oct-26 01:27:00.0000,  2.309078926474322E+02, -1.325875704916552E+01, -1.831494514491598E+03,
2460243.561111111, A.D. 2023-Oct-26 01:28:00.0000,  1.582717639575130E+02,  5.100514682859796E+01, -1.838884170392697E+03,
2460243.561805556, A.D. 2023-Oct-26 01:29:00.0000,  8.519076993450290E+01,  1.151259056738512E+02, -1.841121437225862E+03,
2460243.562500000, A.D. 2023-Oct-26 01:30:00.0000,  1.186969614232657E+01,  1.789240645002139E+02, -1.838202318412870E+03,
2460243.563194444, A.D. 2023-Oct-26 01:31:00.0000, -6.148610542807728E+01,  2.422212053595691E+02, -1.830136730502329E+03,
