

*******************************************************************************
Ephemeris / WWW_USER Sun Nov 19 19:43:56 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.593055556, A.D. 2023-Oct-26 02:14:00.0000, -5.013911843921465E+03,  8.619388326212198E+03, -1.697458689474682E+03,
2460243.593750000, A.D. 2023-Oct-26 02:15:00.0000, -5.052684854525898E+03,  8.636015891671490E+03, -1.701162816488470E+03,
2460243.594444444, A.D. 2023-Oct-26 02:16:00.0000, -5.091372911148705E+03,  8.652497426963469E+03, -1.704838144077004E+03,
2460243.595138889, A.D. 2023-Oct-26 02:17:00.0000, -5.129976219520613E+03,  8.668834105594105E+03, -1.708484897880667E+03,
2460243.595833333, A.D. 2023-Oct-26 02:18:00.0000, -5.168494985448080E+03,  8.685027091471118E+03, -1.712103298893839E+03,
2460243.596527778, A.D. 2023-Oct-26 02:19:00.0000, -5.206929415654682E+03,  8.701077527510166E+03, -1.715693565215520E+03,
2460243.597222222, A.D. 2023-Oct-26 02:20:00.0000, -5.245279715128010E+03,  8.716986545647784E+03, -1.719255913537310E+03,
2460243.597916667, A.D. 2023-Oct-26 02:21:00.0000, -5.283546092424891E+03,  8.732755259558558E+03, -1.722790555963873E+03,
2460243.598611111, A.D. 2023-Oct-26 02:22:00.0000, -5.321728751667368E+03,  8.748384769557983E+03, -1.726297702087901E+03,
2460243.599305556, A.D. 2023-Oct-26 02:23:00.0000, -5.359827901416633E+03,  8.763876161482778E+03, -1.729777559522224E+03,
2460243.600000000, A.D. 2023-Oct-26 02:24:00.0000, -5.397843745792110E+03,  8.779230506290838E+03, -1.733230332753969E+03,
2460243.600694444, A.D. 2023-Oct-26 02:25:00.0000, -5.435776493378915E+03,  8.794448862475127E+03, -1.736656224172530E+03,
2460243.601388889, A.D. 2023-Oct-26 02:26:00.0000, -5.473626350152539E+03,  8.809532271671262E+03, -1.740055433122870E+03,
2460243.602083333, A.D. 2023-Oct-26 02:27:00.0000, -5.511393521981838E+03,  8.824481764268538E+03, -1.743428156384635E+03,
2460243.602777778, A.D. 2023-Oct-26 02:28:00.0000, -5.549078214714362E+03,  8.839298358768798E+03, -1.746774587810193E+03,
2460243.603472222, A.D. 2023-Oct-26 02:29:00.0000, -5.586680633312208E+03,  8.853983056485542E+03, -1.750094919057710E+03,
2460243.604166667, A.D. 2023-Oct-26 02:30:00.0000, -5.624200985423522E+03,  8.868536850895327E+03, -1.753389340722087E+03,
2460243.604861111, A.D. 2023-Oct-26 02:31:00.0000, -5.661639475088567E+03,  8.882960718119397E+03, -1.756658039179090E+03,
2460243.605555556, A.D. 2023-Oct-26 02:32:00.0000, -5.698996308176545E+03,  8.897255624419460E+03, -1.759901198596711E+03,
2460243.606250000, A.D. 2023-Oct-26 02:33:00.0000, -5.736271688638721E+03,  8.911422524783600E+03, -1.763119002655211E+03,
2460243.606944445, A.D. 2023-Oct-26 02:34:00.0000, -5.773465821262682E+03,  8.925462360827383E+03, -1.766311631485054E+03,
2460243.607638889, A.D. 2023-Oct-26 02:35:00.0000, -5.810578909086529E+03,  8.939376061834848E+03, -1.769479261068602E+03,
2460243.608333333, A.D. 2023-Oct-26 02:36:00.0000, -5.847611157762352E+03,  8.953164547140974E+03, -1.772622069280140E+03,
2460243.609027778, A.D. 2023-Oct-26 02:37:00.0000, -5.884562767562806E+03,  8.966828723397948E+03, -1.775740228867092E+03,
2460243.609722222, A.D. 2023-Oct-26 02:38:00.0000, -5.921433944015240E+03,  8.980369487237092E+03, -1.778833912344413E+03,
2460243.610416667, A.D. 2023-Oct-26 02:39:00.0000, -5.958224887340795E+03,  8.993787723941135E+03, -1.781903288579030E+03,
2460243.611111111, A.D. 2023-Oct-26 02:40:00.0000, -5.994935800277744E+03,  9.007084307838008E+03, -1.784948523894512E+03,
2460243.611805555, A.D. 2023-Oct-26 02:41:00.0000, -6.031566883805906E+03,  9.020260101778042E+03, -1.787969785803112E+03,
2460243.612500000, A.D. 2023-Oct-26 02:42:00.0000, -6.068118337911146E+03,  9.033315960361029E+03, -1.790967235630229E+03,
2460243.613194444, A.D. 2023-Oct-26 02:43:00.0000, -6.104590363428055E+03,  9.046252726045535E+03, -1.793941037446153E+03,
2460243.613888889, A.D. 2023-Oct-26 02:44:00.0000, -6.140983160291915E+03,  9.059071232234146E+03, -1.796891348766640E+03,
2460243.614583333, A.D. 2023-Oct-26 02:45:00.0000, -6.177296926511393E+03,  9.071772302094714E+03, -1.799818327740905E+03,
2460243.615277778, A.D. 2023-Oct-26 02:46:00.0000, -6.213531860025192E+03,  9.084356748451301E+03, -1.802722131332288E+03,
2460243.615972222, A.D. 2023-Oct-26 02:47:00.0000, -6.249688159679412E+03,  9.096825375722927E+03, -1.805602913047135E+03,
